Student_ID,Form_No,Class,Student_Name,Surname,Father_Name,Mother_Name,DOB,DOB_Words,Place_of_Birth,District,State,Aadhar,Category,Religion,Mother_Tongue,Physical_Disability,Blood_Group,Address,City,Pin_Code,Emergency_Contact_Name,Emergency_Contact_No,Guardian_Name,Guardian_Relation
31,MRS-0031,Class 1,Aarti Verma,Verma,Deepak Verma,Kiran Verma,43435,43435,Indore,Indore,Madhya Pradesh,589266000000,OBC,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Deepak Verma,9720411424,Deepak Verma,Father
32,MRS-0032,Class 1,Rohit Malviya,Malviya,Ashok Malviya,Geeta Malviya,43346,43346,Indore,Indore,Madhya Pradesh,958152000000,OBC,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Ashok Malviya,9557612162,Ashok Malviya,Father
33,MRS-0033,Class 1,Kunal Sharma,Sharma,Deepak Sharma,Sarla Sharma,42860,42860,Indore,Indore,Madhya Pradesh,270432000000,ST,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Deepak Sharma,9833703620,Deepak Sharma,Father
34,MRS-0034,Class 1,Anjali Jain,Jain,Rakesh Jain,Geeta Jain,43091,43091,Indore,Indore,Madhya Pradesh,728765000000,OBC,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Rakesh Jain,9342070558,Rakesh Jain,Father
35,MRS-0035,Class 1,Anjali Gupta,Gupta,Prakash Gupta,Sunita Gupta,43659,43659,Indore,Indore,Madhya Pradesh,633980000000,SC,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Prakash Gupta,9842113126,Prakash Gupta,Father
36,MRS-0036,Class 1,Aakash Verma,Verma,Rakesh Verma,Poonam Verma,43171,43171,Indore,Indore,Madhya Pradesh,933261000000,OBC,Hindu,Hindi,Yes,A+,"Indore, Madhya Pradesh",Indore,452001,Rakesh Verma,9670430915,Rakesh Verma,Father
37,MRS-0037,Class 1,Sneha Mishra,Mishra,Vijay Mishra,Seema Mishra,43632,43632,Indore,Indore,Madhya Pradesh,794741000000,OBC,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Vijay Mishra,9502430367,Vijay Mishra,Father
38,MRS-0038,Class 1,Neha Gupta,Gupta,Rakesh Gupta,Vinita Gupta,43537,43537,Indore,Indore,Madhya Pradesh,337313000000,ST,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Rakesh Gupta,9129918332,Rakesh Gupta,Father
39,MRS-0039,Class 1,Anjali Jain,Jain,Prakash Jain,Meena Jain,42915,42915,Indore,Indore,Madhya Pradesh,308483000000,OBC,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Prakash Jain,9264808142,Prakash Jain,Father
40,MRS-0040,Class 1,Neha Gupta,Gupta,Anil Gupta,Sarla Gupta,43354,43354,Indore,Indore,Madhya Pradesh,555157000000,General,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Anil Gupta,9792058064,Anil Gupta,Father
41,MRS-0041,Class 1,Sneha Sharma,Sharma,Rakesh Sharma,Vinita Sharma,42822,42822,Indore,Indore,Madhya Pradesh,579623000000,ST,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Rakesh Sharma,9819874481,Rakesh Sharma,Father
42,MRS-0042,Class 1,Sneha Jain,Jain,Vijay Jain,Sarla Jain,43633,43633,Indore,Indore,Madhya Pradesh,765140000000,General,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Vijay Jain,9786876320,Vijay Jain,Father
43,MRS-0043,Class 1,Kavita Malviya,Malviya,Anil Malviya,Sunita Malviya,43048,43048,Indore,Indore,Madhya Pradesh,603924000000,SC,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Anil Malviya,9667971078,Anil Malviya,Father
44,MRS-0044,Class 1,Nikhil Malviya,Malviya,Sanjay Malviya,Meena Malviya,43283,43283,Indore,Indore,Madhya Pradesh,692479000000,ST,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Sanjay Malviya,9613515704,Sanjay Malviya,Father
45,MRS-0045,Class 1,Neha Patel,Patel,Vijay Patel,Sarla Patel,43198,43198,Indore,Indore,Madhya Pradesh,236999000000,OBC,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Vijay Patel,9272220134,Vijay Patel,Father
46,MRS-0046,Class 1,Ankit Yadav,Yadav,Prakash Yadav,Rekha Yadav,43049,43049,Indore,Indore,Madhya Pradesh,333635000000,ST,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Prakash Yadav,9381523447,Prakash Yadav,Father
47,MRS-0047,Class 1,Nikhil Gupta,Gupta,Mahesh Gupta,Kiran Gupta,43290,43290,Indore,Indore,Madhya Pradesh,397675000000,General,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Mahesh Gupta,9521696220,Mahesh Gupta,Father
48,MRS-0048,Class 1,Komal Jain,Jain,Manoj Jain,Sarla Jain,43412,43412,Indore,Indore,Madhya Pradesh,801675000000,OBC,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Manoj Jain,9102148751,Manoj Jain,Father
49,MRS-0049,Class 1,Pranav Agarwal,Agarwal,Rajesh Agarwal,Vinita Agarwal,43610,43610,Indore,Indore,Madhya Pradesh,258756000000,SC,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Rajesh Agarwal,9803253452,Rajesh Agarwal,Father
50,MRS-0050,Class 1,Riya Malviya,Malviya,Sanjay Malviya,Poonam Malviya,42854,42854,Indore,Indore,Madhya Pradesh,554711000000,ST,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Sanjay Malviya,9898968737,Sanjay Malviya,Father
51,MRS-0051,Class 1,Aarti Patel,Patel,Prakash Patel,Sunita Patel,43290,43290,Indore,Indore,Madhya Pradesh,444982000000,SC,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Prakash Patel,9127123521,Prakash Patel,Father
52,MRS-0052,Class 1,Neha Verma,Verma,Anil Verma,Lata Verma,43190,43190,Indore,Indore,Madhya Pradesh,270730000000,ST,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Anil Verma,9468306873,Anil Verma,Father
53,MRS-0053,Class 1,Rohit Malviya,Malviya,Ashok Malviya,Seema Malviya,43368,43368,Indore,Indore,Madhya Pradesh,850573000000,OBC,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Ashok Malviya,9866893609,Ashok Malviya,Father
54,MRS-0054,Class 1,Ankit Jain,Jain,Prakash Jain,Lata Jain,42943,42943,Indore,Indore,Madhya Pradesh,550890000000,ST,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Prakash Jain,9643878672,Prakash Jain,Father
55,MRS-0055,Class 1,Aman Gupta,Gupta,Ashok Gupta,Rekha Gupta,43571,43571,Indore,Indore,Madhya Pradesh,208643000000,OBC,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Ashok Gupta,9801124211,Ashok Gupta,Father
56,MRS-0056,Class 2,Kavita Malviya,Malviya,Vijay Malviya,Meena Malviya,42707,42707,Indore,Indore,Madhya Pradesh,953676000000,OBC,Hindu,Hindi,Yes,AB+,"Indore, Madhya Pradesh",Indore,452001,Vijay Malviya,9667848434,Vijay Malviya,Father
57,MRS-0057,Class 2,Riya Verma,Verma,Rajesh Verma,Lata Verma,43025,43025,Indore,Indore,Madhya Pradesh,354628000000,SC,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Rajesh Verma,9920995459,Rajesh Verma,Father
58,MRS-0058,Class 2,Rahul Verma,Verma,Vijay Verma,Lata Verma,43399,43399,Indore,Indore,Madhya Pradesh,492582000000,SC,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Vijay Verma,9768098285,Vijay Verma,Father
59,MRS-0059,Class 2,Kavita Malviya,Malviya,Ashok Malviya,Sarla Malviya,43436,43436,Indore,Indore,Madhya Pradesh,965027000000,General,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Ashok Malviya,9237255029,Ashok Malviya,Father
60,MRS-0060,Class 2,Aarti Malviya,Malviya,Sanjay Malviya,Vinita Malviya,43433,43433,Indore,Indore,Madhya Pradesh,877083000000,General,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Sanjay Malviya,9871831046,Sanjay Malviya,Father
61,MRS-0061,Class 2,Pranav Yadav,Yadav,Vijay Yadav,Lata Yadav,42682,42682,Indore,Indore,Madhya Pradesh,824158000000,OBC,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Vijay Yadav,9558307929,Vijay Yadav,Father
62,MRS-0062,Class 2,Pooja Malviya,Malviya,Mahesh Malviya,Geeta Malviya,42608,42608,Indore,Indore,Madhya Pradesh,603024000000,SC,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Mahesh Malviya,9687397269,Mahesh Malviya,Father
63,MRS-0063,Class 2,Kavita Mishra,Mishra,Sanjay Mishra,Lata Mishra,42845,42845,Indore,Indore,Madhya Pradesh,490135000000,SC,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Sanjay Mishra,9489480930,Sanjay Mishra,Father
64,MRS-0064,Class 2,Ankit Agarwal,Agarwal,Prakash Agarwal,Sarla Agarwal,43009,43009,Indore,Indore,Madhya Pradesh,345025000000,OBC,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Prakash Agarwal,9809118975,Prakash Agarwal,Father
65,MRS-0065,Class 2,Pooja Jain,Jain,Vijay Jain,Sarla Jain,43233,43233,Indore,Indore,Madhya Pradesh,301270000000,SC,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Vijay Jain,9834930677,Vijay Jain,Father
66,MRS-0066,Class 2,Kunal Patel,Patel,Anil Patel,Geeta Patel,43325,43325,Indore,Indore,Madhya Pradesh,611248000000,General,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Anil Patel,9713046143,Anil Patel,Father
67,MRS-0067,Class 2,Neha Patel,Patel,Rajesh Patel,Seema Patel,42892,42892,Indore,Indore,Madhya Pradesh,763839000000,SC,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Rajesh Patel,9494781647,Rajesh Patel,Father
68,MRS-0068,Class 2,Neha Gupta,Gupta,Rajesh Gupta,Seema Gupta,43019,43019,Indore,Indore,Madhya Pradesh,348076000000,ST,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Rajesh Gupta,9234104297,Rajesh Gupta,Father
69,MRS-0069,Class 2,Priya Gupta,Gupta,Sanjay Gupta,Seema Gupta,42485,42485,Indore,Indore,Madhya Pradesh,279457000000,General,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Sanjay Gupta,9627768168,Sanjay Gupta,Father
70,MRS-0070,Class 2,Priya Sharma,Sharma,Manoj Sharma,Seema Sharma,42883,42883,Indore,Indore,Madhya Pradesh,485463000000,SC,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Manoj Sharma,9534310403,Manoj Sharma,Father
71,MRS-0071,Class 2,Vikas Jain,Jain,Deepak Jain,Meena Jain,42577,42577,Indore,Indore,Madhya Pradesh,758767000000,ST,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Deepak Jain,9853275872,Deepak Jain,Father
72,MRS-0072,Class 2,Riya Agarwal,Agarwal,Mahesh Agarwal,Kiran Agarwal,43343,43343,Indore,Indore,Madhya Pradesh,670650000000,ST,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Mahesh Agarwal,9488600923,Mahesh Agarwal,Father
73,MRS-0073,Class 2,Rohit Malviya,Malviya,Mahesh Malviya,Kiran Malviya,42530,42530,Indore,Indore,Madhya Pradesh,392833000000,ST,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Mahesh Malviya,9651608474,Mahesh Malviya,Father
74,MRS-0074,Class 2,Vikas Choudhary,Choudhary,Ashok Choudhary,Geeta Choudhary,42719,42719,Indore,Indore,Madhya Pradesh,296925000000,ST,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Ashok Choudhary,9499537048,Ashok Choudhary,Father
75,MRS-0075,Class 2,Neha Choudhary,Choudhary,Rakesh Choudhary,Seema Choudhary,42812,42812,Indore,Indore,Madhya Pradesh,687380000000,OBC,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Rakesh Choudhary,9882461058,Rakesh Choudhary,Father
76,MRS-0076,Class 2,Suresh Patel,Patel,Mahesh Patel,Lata Patel,43433,43433,Indore,Indore,Madhya Pradesh,331147000000,SC,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Mahesh Patel,9201606828,Mahesh Patel,Father
77,MRS-0077,Class 2,Anjali Patel,Patel,Ashok Patel,Geeta Patel,42973,42973,Indore,Indore,Madhya Pradesh,196110000000,General,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Ashok Patel,9436006004,Ashok Patel,Father
78,MRS-0078,Class 2,Kunal Patel,Patel,Rakesh Patel,Sunita Patel,42828,42828,Indore,Indore,Madhya Pradesh,272089000000,OBC,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Rakesh Patel,9508657222,Rakesh Patel,Father
79,MRS-0079,Class 2,Kunal Jain,Jain,Rakesh Jain,Geeta Jain,42477,42477,Indore,Indore,Madhya Pradesh,118199000000,SC,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Rakesh Jain,9121287768,Rakesh Jain,Father
80,MRS-0080,Class 2,Aarti Yadav,Yadav,Prakash Yadav,Poonam Yadav,42580,42580,Indore,Indore,Madhya Pradesh,475897000000,OBC,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Prakash Yadav,9890512305,Prakash Yadav,Father
81,MRS-0081,Class 2,Ankit Malviya,Malviya,Mahesh Malviya,Kiran Malviya,43219,43219,Indore,Indore,Madhya Pradesh,140997000000,ST,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Mahesh Malviya,9774689262,Mahesh Malviya,Father
82,MRS-0082,Class 2,Pooja Gupta,Gupta,Ashok Gupta,Meena Gupta,42839,42839,Indore,Indore,Madhya Pradesh,889388000000,ST,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Ashok Gupta,9947946177,Ashok Gupta,Father
83,MRS-0083,Class 2,Suresh Jain,Jain,Vijay Jain,Seema Jain,42675,42675,Indore,Indore,Madhya Pradesh,216648000000,OBC,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Vijay Jain,9736369738,Vijay Jain,Father
84,MRS-0084,Class 2,Neha Agarwal,Agarwal,Anil Agarwal,Sunita Agarwal,42725,42725,Indore,Indore,Madhya Pradesh,831071000000,SC,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Anil Agarwal,9737461312,Anil Agarwal,Father
85,MRS-0085,Class 2,Rohit Malviya,Malviya,Prakash Malviya,Poonam Malviya,42686,42686,Indore,Indore,Madhya Pradesh,926539000000,ST,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Prakash Malviya,9494282353,Prakash Malviya,Father
86,MRS-0086,Class 2,Aman Agarwal,Agarwal,Anil Agarwal,Sunita Agarwal,42816,42816,Indore,Indore,Madhya Pradesh,278391000000,SC,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Anil Agarwal,9627917406,Anil Agarwal,Father
87,MRS-0087,Class 2,Ankit Verma,Verma,Sanjay Verma,Lata Verma,43236,43236,Indore,Indore,Madhya Pradesh,682295000000,SC,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Sanjay Verma,9908536879,Sanjay Verma,Father
88,MRS-0088,Class 2,Anjali Gupta,Gupta,Vijay Gupta,Lata Gupta,42501,42501,Indore,Indore,Madhya Pradesh,270290000000,OBC,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Vijay Gupta,9620306279,Vijay Gupta,Father
89,MRS-0089,Class 2,Ankit Sharma,Sharma,Vijay Sharma,Lata Sharma,42605,42605,Indore,Indore,Madhya Pradesh,510794000000,SC,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Vijay Sharma,9397319298,Vijay Sharma,Father
90,MRS-0090,Class 2,Suresh Patel,Patel,Rakesh Patel,Poonam Patel,42900,42900,Indore,Indore,Madhya Pradesh,402541000000,OBC,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Rakesh Patel,9517932150,Rakesh Patel,Father
91,MRS-0091,Class 2,Komal Verma,Verma,Vijay Verma,Rekha Verma,42564,42564,Indore,Indore,Madhya Pradesh,149135000000,ST,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Vijay Verma,9409291266,Vijay Verma,Father
92,MRS-0092,Class 2,Priya Verma,Verma,Rakesh Verma,Vinita Verma,42586,42586,Indore,Indore,Madhya Pradesh,336139000000,General,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Rakesh Verma,9501746431,Rakesh Verma,Father
93,MRS-0093,Class 2,Anjali Agarwal,Agarwal,Ashok Agarwal,Rekha Agarwal,43426,43426,Indore,Indore,Madhya Pradesh,208750000000,General,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Ashok Agarwal,9763086535,Ashok Agarwal,Father
94,MRS-0094,Class 2,Rahul Mishra,Mishra,Deepak Mishra,Kiran Mishra,42732,42732,Indore,Indore,Madhya Pradesh,231194000000,OBC,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Deepak Mishra,9538356201,Deepak Mishra,Father
95,MRS-0095,Class 2,Pranav Verma,Verma,Rajesh Verma,Kiran Verma,42678,42678,Indore,Indore,Madhya Pradesh,824746000000,General,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Rajesh Verma,9738288364,Rajesh Verma,Father
96,MRS-0096,Class 2,Pranav Malviya,Malviya,Mahesh Malviya,Kiran Malviya,42718,42718,Indore,Indore,Madhya Pradesh,124783000000,SC,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Mahesh Malviya,9621710713,Mahesh Malviya,Father
97,MRS-0097,Class 2,Shreya Yadav,Yadav,Rajesh Yadav,Seema Yadav,43378,43378,Indore,Indore,Madhya Pradesh,619562000000,OBC,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Rajesh Yadav,9996081823,Rajesh Yadav,Father
